loan_id,dependents,education,self_employed,annual_income,requested_loan,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,dti_ratio,total_assets,loan_status_encoded
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,2.0,12400000,1
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,3.875,10800000,1
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,3.4,30500000,0
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,2.138888888888889,21200000,1
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,3.4,6800000,0
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,2.3205128205128207,50500000,1
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,2.7362637362637363,70600000,1
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,2.4285714285714284,6400000,0
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,2.875,6100000,0
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,2.0615384615384613,40100000,1
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,3.475,51600000,0
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,3.4761904761904763,22900000,1
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,3.8979591836734695,38700000,1
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,3.727272727272727,36100000,1
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,2.0105263157894737,60000000,1
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,3.4794520547945207,33300000,0
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,2.839080459770115,43400000,0
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,2.0,21500000,1
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,2.738095238095238,70300000,1
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,3.8627450980392157,39500000,1
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,3.656716417910448,29300000,1
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,2.4651162790697674,18100000,0
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,3.2795698924731185,72900000,1
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,2.4864864864864864,49200000,0
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved,3.309090909090909,28200000,1
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,2.223529411764706,77400000,0
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,3.1770833333333335,42400000,1
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,3.284090909090909,65100000,0
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,2.272727272727273,20600000,1
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,3.1538461538461537,30400000,1
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,2.5121951219512195,33300000,0
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,3.5060240963855422,54000000,1
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,3.740740740740741,9200000,0
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,2.2142857142857144,25900000,1
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,2.6315789473684212,14100000,0
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,3.0,2800000,0
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,3.509433962264151,28500000,1
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,2.6142857142857143,59200000,0
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,2.8793103448275863,31500000,1
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,3.230769230769231,17900000,0
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,3.4210526315789473,9000000,1
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,2.5964912280701755,41300000,1
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,3.7222222222222223,67000000,1
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,3.458823529411765,57400000,1
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,2.0,5900000,1
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,2.5428571428571427,17800000,0
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,3.5454545454545454,45300000,1
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,2.1414141414141414,70300000,0
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,2.388888888888889,23300000,1
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,2.7333333333333334,25500000,1
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,3.1176470588235294,48700000,0
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,3.4545454545454546,7900000,0
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,3.2528735632183907,72100000,0
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,4.0,14500000,1
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,3.836734693877551,55100000,1
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,3.7017543859649122,23300000,0
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,2.352272727272727,57500000,0
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,2.3421052631578947,30400000,1
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,3.764705882352941,9700000,0
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,2.0,6100000,0
96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000,Approved,3.6666666666666665,1700000,1
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,2.272727272727273,31200000,0
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,2.8735632183908044,53700000,1
99,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,3.127659574468085,84600000,1
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,2.4545454545454546,25700000,0
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,2.25,2100000,0
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,3.6666666666666665,1200000,1
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,3.0,28800000,1
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,2.8125,8400000,1
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,3.806451612903226,61300000,0
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,2.3095238095238093,29900000,1
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,2.011111111111111,49500000,1
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,3.925925925925926,15700000,1
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,3.7010309278350517,58500000,1
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,2.0606060606060606,19000000,0
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000,Approved,3.6666666666666665,2000000,1
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,2.4594594594594597,31600000,0
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,2.7746478873239435,48000000,0
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,3.0273972602739727,59200000,1
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,2.7857142857142856,62700000,0
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,3.272727272727273,17600000,1
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,4.0,50400000,0
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,2.6666666666666665,4300000,1
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,2.1944444444444446,50000000,0
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,3.6153846153846154,33700000,1
121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,2.5555555555555554,3800000,0
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,4.0,4200000,0
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,3.8705882352941177,37300000,1
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,2.077777777777778,59000000,1
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,2.7857142857142856,50900000,1
126,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000,Approved,3.0,1100000,1
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,2.0,2400000,1
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,3.5686274509803924,29900000,0
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,3.7142857142857144,6400000,0
130,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,3.0,2100000,1
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,2.1894736842105265,74300000,1
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,2.5681818181818183,39600000,0
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,2.0,9100000,0
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,2.0441176470588234,56100000,0
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,3.6666666666666665,8600000,1
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,3.4375,7700000,0
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,3.630434782608696,26100000,1
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,3.0454545454545454,15400000,0
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,2.9310344827586206,13400000,1
140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000,Rejected,3.5,1500000,0
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,3.76,23500000,1
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,2.0833333333333335,17800000,1
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,3.036363636363636,25500000,1
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,2.6363636363636362,45700000,0
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,3.7325581395348837,60400000,1
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,2.5,3600000,0
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,2.2857142857142856,10000000,1
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,2.775,24700000,1
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,2.4285714285714284,37800000,1
150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,3.1,14400000,0
151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,3.7115384615384617,46800000,0
152,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,3.235955056179775,47900000,1
153,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,3.169230769230769,39100000,1
154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected,3.4615384615384617,5000000,0
155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Rejected,3.723404255319149,63500000,0
156,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,Approved,2.24,28200000,1
157,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Approved,2.566666666666667,19500000,1
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Rejected,3.3636363636363638,60100000,0
159,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,Approved,1.8571428571428572,4400000,1
160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Rejected,2.65,19500000,0
161,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Approved,3.096774193548387,22200000,1
162,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Approved,3.3555555555555556,29000000,1
163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Rejected,2.1237113402061856,68800000,0
164,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Approved,2.65,13500000,1
165,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Approved,2.753086419753086,69200000,1
166,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,Approved,2.789473684210526,30400000,1
167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,Approved,2.206896551724138,24300000,1
168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Rejected,3.611111111111111,11800000,0
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,Rejected,3.868131868131868,32600000,0
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Approved,3.6458333333333335,40700000,1
171,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,Approved,2.763157894736842,21700000,1
172,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000,Approved,2.1578947368421053,7200000,1
173,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Approved,2.638888888888889,22400000,1
174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected,3.810810810810811,49500000,0
175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Rejected,2.1666666666666665,46200000,0
176,2, Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000,Approved,2.9444444444444446,13000000,1
177,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Approved,2.9565217391304346,51500000,1
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,Rejected,3.5833333333333335,9600000,0
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Approved,2.375,37300000,1
180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,Rejected,3.6578947368421053,18600000,0
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,Approved,3.977777777777778,31900000,1
182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000,Approved,2.4444444444444446,3400000,1
183,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,Approved,3.5357142857142856,14600000,1
184,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,Approved,3.08,58800000,1
185,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,Approved,2.2142857142857144,11400000,1
186,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,Approved,2.8684210526315788,17400000,1
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,Approved,2.9411764705882355,10100000,1
188,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,Approved,3.3777777777777778,63900000,1
189,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,Approved,3.191780821917808,55600000,1
190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,Rejected,2.675675675675676,50500000,0
191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,Rejected,3.1333333333333333,39200000,0
192,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,Approved,2.1666666666666665,20600000,1
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000,Approved,3.625,6900000,1
194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,Approved,2.75,34200000,1
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,Approved,2.859375,39700000,1
196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,Rejected,2.9456521739130435,54900000,0
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,900000,500000,Approved,3.75,1900000,1
198,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,Approved,2.142857142857143,21900000,1
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,Rejected,3.4,52900000,0
200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,Rejected,3.4893617021276597,40000000,0
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,Rejected,2.163265306122449,77100000,0
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,Rejected,2.3421052631578947,20200000,0
203,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000,Approved,3.0,3900000,1
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,Rejected,2.260869565217391,50900000,0
205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,Approved,3.1354166666666665,50800000,1
206,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000,Approved,2.2413793103448274,22500000,1
207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,Approved,2.13265306122449,65600000,1
208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,Approved,2.1690140845070425,46500000,1
209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,Rejected,2.4805194805194803,44700000,0
210,3, Graduate, No,1400000,3300000,2,652,100000,2100000,3500000,1900000,Approved,2.357142857142857,7600000,1
211,3, Graduate, No,7800000,15900000,2,665,14400000,900000,27200000,5400000,Approved,2.0384615384615383,47900000,1
212,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,Rejected,3.5294117647058822,8100000,0
213,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,33900000,12500000,Rejected,3.847058823529412,68400000,0
214,5, Not Graduate, No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,Approved,3.9473684210526314,17200000,1
215,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,15000000,6800000,Approved,2.2686567164179103,30000000,1
216,3, Graduate, Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,Approved,2.3768115942028984,47400000,1
217,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,Approved,3.0,14600000,1
218,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,Approved,2.1979166666666665,69000000,1
219,1, Not Graduate, Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,Approved,2.5,46600000,1
220,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,8500000,2100000,Rejected,3.53125,19600000,0
221,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,Approved,3.586206896551724,19100000,1
222,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Approved,2.6835443037974684,51100000,1
223,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,Rejected,3.1794871794871793,28000000,0
224,4, Graduate, Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,Rejected,2.391304347826087,32600000,0
225,3, Not Graduate, Yes,700000,1700000,8,733,1200000,800000,2400000,500000,Approved,2.4285714285714284,4900000,1
226,0, Not Graduate, No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,Rejected,3.0,43500000,0
227,3, Not Graduate, Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,Approved,3.4915254237288136,34100000,1
228,4, Graduate, No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,Approved,2.6527777777777777,37900000,1
229,1, Not Graduate, Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,Approved,3.103448275862069,60700000,1
230,3, Not Graduate, Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,Rejected,3.1818181818181817,6800000,0
231,1, Graduate, Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,Approved,2.725,28200000,1
232,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,Approved,3.306122448979592,75100000,1
233,0, Not Graduate, Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,Approved,2.5185185185185186,13800000,1
234,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,Rejected,3.9318181818181817,55700000,0
235,5, Not Graduate, Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,Approved,2.3636363636363638,21000000,1
236,1, Graduate, Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,Approved,3.391304347826087,53400000,1
